,execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,p_object_pool,seed_clone,seed_mutations
7543,9,math,MATH-32b,32b,java.lang.ClassCastException,1,62328,0.0,200.0,"[3.0,100][0.0,200]",0.3,0.2,3
7544,6,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,,,,0.3,0.2,3
7545,6,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7546,6,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7547,10,math,MATH-32b,32b,java.lang.ClassCastException,1,62328,0.0,300.0,"[3.0,100][0.0,300]",0.3,0.2,3
7548,6,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,10100.0,"[4.5,100][3.0,300][0.75,2300]",0.3,0.2,3
7549,6,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,,,,0.3,0.2,3
7550,6,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,12200.0,"[5.863636363636363,100][0.7857142857142857,200]",0.3,0.2,3
7551,9,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,0.0,3100.0,"[3.0,100][0.42857142857142855,300][0.4,2200][0.0,3100]",0.3,0.2,3
7552,6,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,0.84,11700.0,"[5.863636363636363,100][4.8,200][4.2,300][3.0,1400][0.8554216867469879,9100][0.84,11400]",0.3,0.2,3
7553,6,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,0.84,17800.0,"[3.0,100][0.8800000000000001,300][0.84,600]",0.3,0.2,3
7554,6,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.2857142857142857,24800.0,"[3.0,100][0.8695652173913043,200][0.781021897810219,900][0.28571428571428575,5700]",0.3,0.2,3
7555,7,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,,,,0.3,0.2,3
7556,7,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7557,7,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7558,7,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,12300.0,"[4.5,100][0.75,200]",0.3,0.2,3
7559,1,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7560,2,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7561,3,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7562,5,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7563,4,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7564,6,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7565,7,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7566,7,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.7692307692307692,12700.0,"[4.8,100][3.0,500][0.7692307692307692,900]",0.3,0.2,3
7567,7,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,17400.0,"[4.5,100][3.0,300][0.7857142857142857,1500]",0.3,0.2,3
7568,8,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7569,9,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7570,10,math,MATH-89b,89b,java.lang.ClassCastException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7571,7,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,0.8571428571428571,15300.0,"[5.863636363636363,100][4.8,200][4.5,800][4.2,1500][3.0,2000][0.8571428571428571,6800]",0.3,0.2,3
7572,7,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,21900.0,"[3.0,100][0.8571428571428571,1900][0.8518518518518519,4700][0.781021897810219,7100]",0.3,0.2,3
7573,7,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,,,,0.3,0.2,3
7574,8,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,,,,0.3,0.2,3
7575,8,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7576,8,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7577,8,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,,,,0.3,0.2,3
7578,8,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,,,,0.3,0.2,3
7579,8,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,19100.0,"[4.8,100][4.5,400][4.2,500][3.0,600][0.7857142857142857,2600]",0.3,0.2,3
7580,8,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,0.8181818181818182,10500.0,"[5.863636363636363,100][4.8,200][3.0,1800][0.8181818181818182,2900]",0.3,0.2,3
7582,8,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,22200.0,"[3.0,100][0.8695652173913043,1100][0.8571428571428571,1500][0.781021897810219,2100]",0.3,0.2,3
7583,8,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,,,,0.3,0.2,3
7586,9,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7587,9,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7588,9,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,8800.0,"[4.8,100][3.0,400][0.75,500]",0.3,0.2,3
7589,9,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.8181818181818182,11600.0,"[4.8,100][3.0,500][0.8181818181818182,2200]",0.3,0.2,3
7590,9,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,11700.0,"[5.863636363636363,100][3.0,200][0.7857142857142857,1300]",0.3,0.2,3
7591,9,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,0.8554216867469879,12900.0,"[4.5,100][3.0,9500][0.8571428571428571,11600][0.8554216867469879,12500]",0.3,0.2,3
7592,9,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,14900.0,"[3.0,100][0.8695652173913043,1100][0.781021897810219,4300]",0.3,0.2,3
7594,9,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,,,,0.3,0.2,3
7597,10,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,,,,0.3,0.2,3
7598,10,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7600,10,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7601,10,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,9200.0,"[4.8,100][4.5,200][4.2,400][3.0,600][0.75,1500]",0.3,0.2,3
7602,10,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.75,11100.0,"[4.8,100][4.5,500][3.0,700][0.7692307692307692,1600][0.75,8300]",0.3,0.2,3
7603,10,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,10400.0,"[5.863636363636363,100][4.8,200][0.7857142857142857,400]",0.3,0.2,3
7607,10,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,0.8571428571428571,11600.0,"[4.8,100][4.2,1200][3.0,1900][0.8571428571428571,4700]",0.3,0.2,3
7613,10,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,17900.0,"[3.0,100][0.8695652173913043,600][0.8651685393258427,2700][0.781021897810219,3200]",0.3,0.2,3
7614,10,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,,,,0.3,0.2,3
7639,1,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7640,2,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7642,3,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7643,4,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7646,5,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7647,6,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7649,7,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7650,8,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7651,9,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7652,10,lang,LANG-33b,33b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7671,1,math,MATH-79b,79b,java.lang.NullPointerException,1,62328,0.0,700.0,"[5.666666666666666,100][3.0,200][0.5,600][0.0,700]",0.3,0.2,3
7674,5,math,MATH-79b,79b,java.lang.NullPointerException,1,62328,0.0,1000.0,"[5.666666666666666,100][3.0,200][0.4,400][0.0,1000]",0.3,0.2,3
7675,2,math,MATH-79b,79b,java.lang.NullPointerException,1,62328,0.0,1100.0,"[5.666666666666666,100][3.0,200][0.5,400][0.0,1100]",0.3,0.2,3
7677,1,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7678,1,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7679,1,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7680,2,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
